optimizer: D:\EDA\ICCAD2\FloorSet\iccad2026contest\sol\eazyver2\my_optimizer_mib_square.py
tests: 100
feasible: 100
plain_avg_cost: 2.494253
contest_total_score: 3.411365
delta(total - mean): 0.917112

Per-case:
test_id blocks feasible cost norm_weight weighted_contrib hpwl_gap area_gap v_rel
 57  78 1   2.447322   0.00000000     0.00000000  1.066304  0.722106  0.125000
 56  77 1   2.187189   0.00000000     0.00000000  0.857926  0.251633  0.122449
 55  76 1   2.672302   0.00000000     0.00000000  0.795175  0.170806  0.208333
 54  75 1   3.536558   0.00000000     0.00000000  1.372272  0.216858  0.244898
 53  74 1   1.922105   0.00000000     0.00000000  0.865485  0.243991  0.113636
 52  73 1   3.425032   0.00000000     0.00000000  0.863812  0.179855  0.239130
 51  72 1   3.348354   0.00000000     0.00000000  1.044783  0.480925  0.156863
 50  71 1   1.367289   0.00000000     0.00000000  1.051155  0.224678  0.063830
 49  70 1   3.635554   0.00000000     0.00000000  1.164489  0.297722  0.270833
 48  69 1   2.066524   0.00000000     0.00000000  0.802888  0.152215  0.120000
 47  68 1   1.227480   0.00000000     0.00000000  0.741149  0.194733  0.088889
 46  67 1   2.602895   0.00000000     0.00000000  1.161213  0.206101  0.136364
 45  66 1   2.280347   0.00000000     0.00000000  1.389054  0.587793  0.046512
 44  65 1   2.183249   0.00000000     0.00000000  1.184146  0.262786  0.108696
 43  64 1   2.148314   0.00000000     0.00000000  0.926834  0.223609  0.175000
 42  63 1   1.619172   0.00000000     0.00000000  0.900772  0.290095  0.055556
 41  62 1   1.578821   0.00000000     0.00000000  1.155341  0.224335  0.133333
 40  61 1   1.871267   0.00000000     0.00000000  0.898271  0.205914  0.214286
 39  60 1   1.209075   0.00000000     0.00000000  0.674707  0.095354  0.105263
 38  59 1   2.138206   0.00000000     0.00000000  1.443249  0.687143  0.090909
 37  58 1   1.593150   0.00000000     0.00000000  0.756818  0.182277  0.146341
 36  57 1   1.570296   0.00000000     0.00000000  0.641869  0.219608  0.153846
 35  56 1   1.705328   0.00000000     0.00000000  1.098103  0.362580  0.081081
 34  55 1   1.821581   0.00000000     0.00000000  1.148881  0.409767  0.146341
 33  54 1   1.490169   0.00000000     0.00000000  1.089066  0.183432  0.131579
 32  53 1   2.179461   0.00000000     0.00000000  0.877340  0.467309  0.200000
 31  52 1   1.659174   0.00000000     0.00000000  0.841619  0.174804  0.150000
 30  51 1   2.265759   0.00000000     0.00000000  1.174384  0.197395  0.256410
